Years,President,Rate,Party
2019,Donald Trump,3.7,Republican
2018,Donald Trump,3.9,Republican
2017,Donald Trump,4.5,Republican
2016,Barack Obama,4.3,Democrat
2015,Barack Obama,4.6,Democrat
2014,Barack Obama,5.4,Democrat
2013,Barack Obama,6.4,Democrat
2012,Barack Obama,7.4,Democrat
2011,Barack Obama,7.2,Democrat
2010,Barack Obama,7.5,Democrat
2009,Barack Obama,7.2,Democrat
2008,George Bush,4.9,Republican
2007,George Bush,3.9,Republican
2006,George Bush,3.8,Republican
2005,George Bush,4,Republican
2004,George Bush,4.5,Republican
2003,George Bush,4.5,Republican
2002,George Bush,4.4,Republican
2001,George Bush,3.7,Republican
2000,Bill Clinton,3.4,Democrat
1999,Bill Clinton,3.4,Democrat
1998,Bill Clinton,3.4,Democrat
1997,Bill Clinton,3.9,Democrat
1996,Bill Clinton,4.1,Democrat
1995,Bill Clinton,4.6,Democrat
1994,Bill Clinton,5.1,Democrat
1993,Bill Clinton,5.8,Democrat
1992,George HW Bush,6.3,Republican
1991,George HW Bush,5.6,Republican
1990,George HW Bush,3.7,Republican